"Name","Type","Path"
"How to change the size of virtual memory","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{025CD993-3A34-409A-8BD0-928B06BEE68F}"
"Join a domain","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{33C56305-BA7B-48E0-9784-2D05E3F5D27E}"
"Rename this computer","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{1845AA13-3644-4FBC-B766-EEEF29683256}"
"Create a recovery drive","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{C86B1923-8E1F-414B-83DB-94B09BA73E15}"
"See the name of this computer","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{231A4A2D-E36A-46CD-84E6-F38551540242}"
"Select users who can use remote desktop","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{E2E2F6CF-9D1A-4004-8999-8AB81010B5AC}"
"Show how much RAM is on this computer","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{9AF7F177-BD1C-4E3A-902F-BA0276FDC9ED}"
"Show which operating system your computer is running","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{B0A7A618-4DC5-4C8D-996A-70DE2F8BAD25}"
"Show which workgroup this computer is on","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{D995F7E9-727D-4AD6-83F3-A4A753965A8F}"
"View advanced system settings","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{B1FE5142-DEDD-409B-BCC8-547EC08DE84E}"
"Task Manager","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{E9C71548-B580-43B2-ACDB-1BA924002754}"
"View system resource usage in Task Manager","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{CD95D0E3-6B3A-495B-9FDA-57FAD586304D}"
"See which processes start up automatically when you start Windows","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{E4B554C8-B067-4540-A478-0565BB1F76B9}"
"Auto-hide the taskbar","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{FE777427-D33C-485B-A414-3BD5A2943162}"
"Navigation properties","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{09BF6A57-7BF7-4389-8D6F-2BCF6A26BB4E}"
"Customize the taskbar","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{16C327FA-D8A8-41C0-B022-64AC67715327}"
"Group similar windows on the taskbar","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{2B6FE85A-C7AA-440F-B9A3-3F5EDCA3F6C2}"
"Lock or unlock the taskbar","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{06FF5AE9-8F7C-41AD-B71B-62137DE26715}"
"What happened to the Quick Launch toolbar?","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{DECD0904-8AB3-4467-B095-2DAB159871E7}"
"Remove user accounts","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{33C29E1D-D8BE-4811-8496-1FE0F9164F63}"
"Change account type","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{63A7F0F7-6ACD-4D19-92FE-FB4BD9D35BA6}"
"Create a password reset disk","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{906435EC-336D-4B77-BCD6-397DE8318852}"
"Create an account","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{392226F2-0330-41AC-A14C-930BF2ECD136}"
"Create standard user account","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{181A6367-8AD9-4D95-B244-3CA1B1C8F947}"
"Make changes to accounts","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{DED00988-1B8D-4390-924D-C7E85A254953}"
"Manage file encryption certificates","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{7E5BC096-F558-419A-9326-BC6414D592C3}"
"Manage user certificates","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{693E4EF4-9060-469B-AB2E-948B6B68A883}"
"Manage network passwords","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{082594D9-8481-43F0-AE8F-62EA920A4220}"
"Allow an app through Windows Firewall","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{1928DA28-C5A7-4F13-AF81-8238D57A793F}"
"Check firewall status","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{F2E71049-6F88-4A3B-9475-5A2B40B36092}"
"Manage BitLocker","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{886EDAFC-1051-483F-8AE2-904087A7E580}"
"Manage Storage Spaces","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{232A1851-808C-4B44-A92A-38E862989CE5}"
"Manage Work Folders","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{38BD6D6E-BF78-4C31-B05A-7447EE37669F}"
"Connect to a network","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{EDB046FF-3554-4BD0-B152-DE4DF7071CA8}"
"Set up a connection or network","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{60C811E8-C857-404E-98BB-EE5D83C1DF5A}"
"Identify and repair network problems","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{3911D4F8-AD61-4911-A151-5682C26A7427}"
"Manage advanced sharing settings","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{5530E8CC-1B9E-4798-A880-BA719ADFBBBD}"
"Set up a dial-up connection","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{8E21794E-9303-44C5-A493-C3DC53C0E463}"
"Set up a virtual private network (VPN) connection","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{7171F741-718B-49BD-9362-8E847D44CFDA}"
"Set up a broadband connection","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{9B802EF5-59B7-4974-9022-06DC2A9B1677}"
"View network computers and devices","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{88C9D04D-39DD-41EE-A63B-23218D69717F}"
"View network connections","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{9EF86966-2F35-49BE-A9F6-398E0B844411}"
"View network status and tasks","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{BD256B65-94BE-4194-84BF-41D50D0EF26E}"
"Media streaming options","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{12BBBD91-8E16-4C3F-9715-16E5C8299244}"
"Access RemoteApp and desktops","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{7940ACF8-60BA-4213-A7C3-F3B400EE266D}"
"Find and fix problems","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{5902614C-D9C7-4902-9F7F-BAF85454D0B2}"
"Find and fix audio playback problems","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{B896819B-CF73-4DA0-8F59-6E744A6BCD5F}"
"Find and fix audio recording problems","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{B123B0AB-2E4E-4325-804A-32F99784DA0B}"
"Perform recommended maintenance tasks automatically","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{895607E0-D0F9-48BD-B19E-96FBE9BBDCF9}"
"Find and fix networking and connection problems","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{955E7FFD-4DD9-4124-96FC-86C3C653DD33}"
"Find and fix printing problems","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{87842A7E-D784-458D-BEF4-CFDC632DCF3E}"
"Troubleshooting History","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{F025B6FD-D1CA-4A32-9BEB-DBEF1D2F6926}"
"Find and fix problems with Windows Search","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{BEC9E135-14C1-4E00-B5C8-899F26833A5A}"
"Record steps to reproduce a problem","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{11135AE0-7372-4F85-8D1B-93D6EFBE5A99}"
"Find and fix keyboard problems","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{F3F491FD-B863-4227-9657-8E152DE81E7A}"
"Find and fix windows update problems","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{567F539A-9A6F-4E5E-A2BB-B1E58514D11A}"
"Manage Web Credentials","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{1BDB99DF-3832-49D6-9AE0-52105DB568DA}"
"Manage Windows Credentials","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{5D461B44-2753-4DD7-B2C0-BAB71B1F4C1A}"
"Backup and Restore (Windows 7)","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{CFC1FE08-D032-437D-BE93-96A28B3720DA}"
"Restore data, files, or computer from backup (Windows 7)","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{D5426AA3-8F5B-4C4C-915E-901A156FFFDF}"
"Save backup copies of your files with File History","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{A42E8D99-83E6-4D12-B403-F46059D02CF0}"
"Restore your files with File History","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{76F31A78-3FDA-4F80-B015-95CFD81463AD}"
